idade,tempo_assinatura_meses,plano_assinatura,valor_mensal,visualizacoes_mes,tempo_medio_sessao_min,contatos_suporte,avaliacao_conteudo,metodo_pagamento,dispositivo_principal
38,19,Basico,37.18,159,108,1,3.1,credito,computer
44,42,Standard,42.90,135,148,3,2,credito,computer
52,33,Premium,41.68,48,17,4,2.1,boleto,computer
60,60,Premium,27.26,86,120,5,3.7,debito,smart_tv
59,33,Premium,31.31,117,119,2,1.7,boleto,smart_tv
60,9,Standard,31.45,83,57,4,3.3,boleto,mobile
43,49,Premium,37.41,31,35,4,1.9,debito,computer
32,48,Standard,59.79,124,106,1,2.8,credito,computer
24,57,Premium,44.33,193,173,5,3.8,debito,mobile
71,28,Standard,38.90,134,10,5,1,debito,smart_tv
68,37,Premium,30.51,157,82,0,3.9,credito,mobile
25,40,Basico,50.07,177,122,0,1.9,boleto,mobile
28,47,Premium,37.42,99,137,1,2.1,boleto,smart_tv
63,56,Premium,36.36,152,155,0,4.3,credito,mobile
45,53,Basico,26.31,39,135,0,1.1,debito,computer
35,7,Basico,38.88,139,13,5,2.2,debito,computer
29,35,Premium,56.46,176,55,1,1.7,boleto,smart_tv
40,41,Standard,49.43,18,170,4,2.6,credito,smart_tv
46,16,Standard,39.08,132,52,1,1.6,credito,mobile
70,3,Basico,54.48,141,59,5,1.8,boleto,mobile
63,36,Basico,45.52,100,90,0,3.8,boleto,smart_tv
54,44,Basico,36.03,178,152,3,1.1,credito,smart_tv
38,48,Standard,28.08,21,175,0,5,boleto,computer
35,34,Basico,30.80,192,33,1,4.8,credito,smart_tv
62,41,Premium,43.22,170,134,4,2.8,boleto,mobile
41,33,Premium,29.11,7,152,4,3.7,debito,mobile
66,45,Standard,58.18,161,91,0,2,boleto,mobile
62,5,Basico,40.10,167,153,1,4.7,credito,smart_tv
28,29,Standard,57.64,111,97,0,1.3,boleto,mobile
59,43,Basico,52.44,85,27,0,1.5,debito,mobile
75,34,Basico,24.36,149,127,5,1.5,boleto,mobile
46,6,Basico,22.53,195,89,4,5,boleto,smart_tv
31,19,Premium,56.01,33,46,4,3.6,boleto,smart_tv
36,12,Standard,28.24,138,32,0,3.9,boleto,computer
66,17,Basico,21.63,196,114,2,3,boleto,computer
48,3,Premium,47.54,35,44,5,2.6,boleto,mobile
65,8,Premium,39.73,49,39,5,1.3,debito,smart_tv
38,24,Standard,32.80,29,101,5,3.7,debito,computer
25,15,Premium,21.26,163,156,3,1.6,debito,smart_tv
39,3,Standard,27.81,12,159,0,3.7,boleto,mobile
22,41,Basico,53.71,158,53,0,3.7,debito,smart_tv
34,26,Standard,44.26,189,140,4,1.9,boleto,mobile
55,47,Basico,57.21,56,117,5,2.2,debito,mobile
39,7,Premium,54.94,136,55,1,2.4,debito,smart_tv
62,10,Basico,49.35,106,166,1,4.8,credito,smart_tv
47,8,Basico,59.67,161,28,0,2.8,debito,smart_tv
31,39,Premium,51.72,37,45,2,4.2,boleto,smart_tv
27,55,Standard,56.93,126,85,1,3.7,credito,computer
56,22,Premium,35.28,91,43,3,3.5,debito,mobile
31,21,Basico,39.30,40,20,0,4.1,debito,smart_tv
65,11,Premium,35.59,107,136,1,3.4,debito,mobile
64,11,Basico,38.55,61,87,1,1.8,boleto,computer
40,38,Premium,35.23,23,24,3,3.3,boleto,mobile
68,3,Standard,21.38,90,40,1,2,boleto,mobile
37,2,Standard,33.93,70,169,5,2.5,debito,mobile
57,7,Standard,46.68,33,93,0,3.7,credito,computer
47,35,Premium,35.00,196,138,3,3.9,debito,mobile
65,39,Basico,56.91,188,18,3,1.1,boleto,mobile
69,38,Basico,45.24,110,95,1,1.8,boleto,smart_tv
75,32,Standard,56.27,106,56,0,4.6,credito,computer
26,14,Standard,50.67,103,69,0,3.1,debito,mobile
73,5,Basico,36.82,187,153,4,5,boleto,computer
55,25,Standard,56.00,50,169,3,1.4,debito,mobile
67,49,Basico,55.69,0,33,5,3,debito,mobile
28,60,Premium,27.22,71,150,5,4.4,boleto,smart_tv
72,45,Premium,43.45,96,144,0,4.1,boleto,smart_tv
19,57,Premium,52.80,169,93,1,2.4,debito,mobile
45,12,Premium,56.12,117,119,2,2.3,credito,mobile
18,4,Basico,52.01,23,14,0,4.7,debito,smart_tv
48,54,Premium,23.81,153,92,4,1.1,credito,smart_tv
20,5,Premium,46.43,6,46,0,4.5,boleto,computer
30,16,Standard,51.76,47,34,3,1.1,debito,smart_tv
69,6,Standard,51.54,126,156,2,4,debito,computer
57,15,Standard,27.64,170,28,0,3.9,boleto,mobile
43,46,Standard,37.07,117,95,2,3,boleto,mobile
23,48,Standard,23.13,141,70,3,3.2,credito,computer
59,39,Premium,43.57,67,92,1,1.3,boleto,computer
48,30,Basico,57.24,189,168,3,2.4,boleto,computer
74,6,Basico,22.33,75,76,0,1.4,boleto,computer
20,2,Basico,31.41,21,29,4,1.3,debito,computer
57,32,Basico,21.28,36,114,3,3.9,boleto,computer
70,30,Basico,30.37,185,101,4,3.9,boleto,mobile
61,41,Basico,27.57,188,125,5,1.5,credito,smart_tv
73,46,Standard,33.05,100,157,3,1.8,boleto,computer
49,19,Premium,22.28,8,152,5,3.1,credito,mobile
30,35,Basico,44.37,176,90,0,2.1,boleto,mobile
68,59,Standard,22.61,96,161,5,4.4,boleto,mobile
71,31,Standard,55.85,49,159,4,3.7,credito,computer
73,50,Basico,27.63,7,180,0,2.5,boleto,smart_tv
62,25,Premium,20.52,10,14,4,3.8,boleto,smart_tv
18,52,Premium,37.31,124,134,1,1.9,debito,mobile
33,16,Premium,46.74,14,61,0,4.6,debito,mobile
19,28,Standard,29.93,165,133,5,4.5,boleto,mobile
49,23,Standard,50.59,107,100,0,1.3,credito,smart_tv
56,15,Basico,53.19,128,138,5,2.6,debito,smart_tv
74,60,Standard,41.41,69,25,3,1.9,debito,computer
51,36,Basico,22.14,45,22,1,4.5,boleto,smart_tv
20,19,Premium,54.87,48,133,0,1.2,debito,computer
60,40,Standard,38.56,135,173,4,1.8,boleto,smart_tv
63,7,Premium,26.03,136,117,4,1.7,credito,computer
59,7,Basico,48.28,7,14,3,1.5,credito,computer
73,18,Basico,54.64,154,123,2,3.4,credito,smart_tv
22,37,Standard,57.94,49,94,4,2.7,credito,computer
28,20,Premium,35.39,0,33,4,5,boleto,smart_tv
45,43,Basico,53.41,105,21,1,1,credito,mobile
48,38,Basico,23.35,75,79,2,1.8,debito,smart_tv
75,33,Standard,56.62,81,174,4,4.5,credito,computer
40,7,Premium,29.06,25,57,5,1.5,debito,smart_tv
54,12,Standard,32.10,77,58,3,1.7,boleto,smart_tv
25,57,Premium,29.14,79,19,2,3.2,debito,mobile
72,49,Premium,33.98,151,170,3,2,debito,computer
44,42,Basico,41.21,65,153,4,3.4,boleto,computer
36,27,Premium,56.74,105,99,3,4.3,boleto,computer
52,44,Standard,44.19,6,44,1,3.4,debito,mobile
26,40,Basico,38.61,72,120,2,3.3,debito,smart_tv
44,6,Basico,43.85,185,159,3,3.8,credito,computer
20,31,Standard,49.17,129,67,3,3.4,credito,mobile
21,60,Standard,36.69,167,95,5,3.3,credito,mobile
30,30,Premium,21.83,62,28,1,1.1,boleto,computer
23,41,Premium,44.87,11,101,5,2.4,boleto,computer
49,4,Premium,35.24,22,55,3,1.9,boleto,computer
62,49,Premium,56.50,160,102,5,4.4,credito,computer
50,49,Premium,25.72,47,49,1,1.9,credito,computer
52,21,Standard,41.52,24,167,1,1.6,boleto,computer
49,23,Premium,23.16,89,31,0,1.1,credito,computer
24,46,Standard,37.25,157,144,5,3.3,boleto,computer
60,10,Premium,58.72,58,141,3,4.6,credito,mobile
22,9,Standard,33.34,17,163,4,1.3,debito,mobile
39,2,Premium,21.73,90,175,4,4.7,credito,computer
44,1,Basico,41.37,173,146,5,3.9,credito,mobile
37,48,Standard,46.52,192,21,1,1.3,boleto,mobile
22,50,Premium,49.25,90,17,3,4.1,debito,computer
49,16,Standard,51.31,196,76,1,1.3,boleto,smart_tv
65,1,Basico,44.47,24,67,1,2.2,credito,mobile
60,40,Basico,36.11,28,125,1,4.7,credito,mobile
35,46,Basico,28.15,63,14,3,3.7,debito,mobile
67,55,Standard,30.97,13,168,1,1.2,boleto,mobile
29,7,Premium,55.14,105,16,4,3.7,credito,smart_tv
63,55,Basico,58.13,184,66,3,3.5,boleto,smart_tv
36,31,Basico,51.98,16,42,1,4,credito,smart_tv
64,26,Standard,37.32,182,90,1,4.7,debito,computer
41,36,Basico,20.59,8,158,2,1.3,credito,mobile
62,46,Basico,43.90,153,170,1,1.3,credito,smart_tv
66,36,Basico,54.65,163,166,4,3.1,credito,smart_tv
70,38,Basico,49.31,23,129,5,4.2,boleto,mobile
34,28,Premium,43.96,149,54,5,1.8,debito,mobile
56,32,Basico,54.78,51,158,4,4.9,boleto,mobile
22,22,Premium,40.89,54,58,4,1.3,debito,computer
43,16,Standard,45.46,29,57,0,1,boleto,smart_tv
58,60,Standard,47.52,188,93,4,3.3,boleto,mobile
40,46,Premium,39.17,64,79,4,3.8,credito,smart_tv
60,12,Basico,19.99,117,108,1,3,boleto,computer
35,50,Standard,50.98,169,166,2,2.1,boleto,smart_tv
61,29,Premium,54.25,1,87,4,3.2,boleto,mobile
31,43,Basico,22.30,98,120,5,2.3,boleto,computer
34,24,Premium,48.98,33,91,5,3.7,debito,smart_tv
58,46,Basico,22.23,130,79,1,4.5,debito,smart_tv
53,18,Basico,42.13,156,40,1,3.9,boleto,smart_tv
24,13,Basico,43.89,83,147,2,1.7,boleto,smart_tv
22,57,Premium,27.68,110,73,3,1,credito,computer
72,12,Premium,25.00,174,17,3,2.1,boleto,smart_tv
60,7,Premium,44.55,68,137,2,1.1,boleto,smart_tv
19,45,Premium,41.34,147,41,0,2.2,debito,computer
25,3,Premium,49.32,108,18,4,1.7,debito,smart_tv
61,18,Basico,36.02,35,99,4,2.2,boleto,mobile
48,16,Basico,47.38,1,31,1,2.2,boleto,computer
67,35,Basico,58.77,35,58,3,3.9,credito,computer
50,44,Basico,29.16,95,147,4,3.2,debito,smart_tv
43,41,Premium,23.34,18,84,2,1.3,debito,smart_tv
65,15,Premium,48.26,163,102,1,3.3,boleto,mobile
19,48,Standard,28.23,199,77,0,3.7,debito,mobile
32,55,Basico,25.60,117,92,2,3.7,credito,mobile
56,14,Standard,43.40,2,163,5,1.9,boleto,smart_tv
35,43,Basico,37.34,200,155,1,1,debito,mobile
19,30,Basico,39.30,166,153,1,3.7,credito,mobile
55,25,Premium,21.38,152,122,3,2.1,debito,mobile
29,9,Basico,21.35,174,32,2,1.9,credito,smart_tv
33,42,Premium,45.31,179,97,1,4.1,debito,smart_tv
70,10,Basico,23.47,185,72,3,4.1,credito,smart_tv
53,58,Premium,27.74,77,56,4,3,credito,smart_tv
62,14,Basico,53.01,116,63,0,2.1,debito,smart_tv
42,24,Basico,19.92,94,138,3,1.7,boleto,smart_tv
62,40,Standard,59.75,187,51,3,2.4,credito,mobile
60,57,Basico,55.88,4,96,1,2,debito,mobile
50,4,Basico,33.85,142,71,5,1.2,boleto,computer
63,36,Standard,55.62,81,16,0,5,debito,mobile
43,43,Basico,29.24,196,62,1,3.5,debito,smart_tv
69,51,Basico,53.34,185,131,3,4.7,credito,mobile
45,19,Standard,53.99,63,67,2,2.3,boleto,computer
38,35,Premium,53.18,16,149,1,3.4,boleto,mobile
62,5,Basico,42.12,49,58,0,4,debito,smart_tv
35,15,Premium,37.06,82,27,4,1.8,debito,smart_tv
70,32,Basico,49.87,24,151,3,2.8,credito,mobile
39,59,Premium,53.93,113,38,3,4.6,boleto,mobile
30,16,Basico,42.59,7,41,4,3.9,boleto,smart_tv
44,4,Basico,39.59,99,128,0,1.7,debito,mobile
42,33,Standard,35.56,165,57,4,1.2,debito,mobile
54,12,Premium,55.16,74,129,0,1.5,credito,smart_tv
36,40,Standard,20.78,1,33,0,1.6,debito,smart_tv
72,29,Standard,24.08,59,127,2,4.1,credito,computer
25,6,Basico,47.73,149,106,4,3.2,boleto,computer
69,18,Basico,57.18,111,30,4,4.5,debito,computer
49,54,Premium,29.41,188,71,2,1,boleto,smart_tv
26,38,Standard,33.65,103,133,1,1.1,boleto,mobile
44,16,Standard,22.62,129,105,3,4.8,boleto,computer
32,56,Basico,55.00,30,60,2,3.2,boleto,mobile
39,9,Premium,39.74,129,142,4,3.7,boleto,mobile
48,2,Standard,37.22,108,104,4,2.2,boleto,smart_tv
34,56,Premium,23.29,65,95,1,4.5,credito,smart_tv
44,17,Premium,29.78,55,177,1,4,debito,mobile
37,44,Standard,22.50,15,172,5,2.2,debito,computer
68,24,Basico,39.17,120,173,5,2.9,credito,smart_tv
73,25,Basico,20.14,71,143,2,2.6,debito,smart_tv
58,23,Basico,39.09,39,111,3,3.7,boleto,computer
40,42,Basico,37.38,95,115,0,3.6,boleto,smart_tv
52,39,Basico,44.13,60,90,3,2.4,boleto,computer
41,50,Basico,52.38,16,152,5,3.6,boleto,smart_tv
75,60,Premium,42.93,115,144,0,3.1,credito,computer
27,54,Basico,42.71,179,63,5,2.2,credito,mobile
46,20,Basico,41.39,7,178,0,4.6,credito,mobile
65,49,Basico,45.55,50,18,0,4.2,boleto,computer
20,60,Premium,37.50,3,28,3,1.6,boleto,smart_tv
53,35,Standard,47.02,9,119,2,2,credito,smart_tv
33,25,Premium,25.88,192,180,0,4.5,boleto,smart_tv
72,1,Basico,40.02,11,33,1,2.6,debito,computer
59,19,Basico,45.14,53,91,4,4.8,boleto,mobile
46,40,Premium,21.99,42,112,4,2.5,debito,smart_tv
62,33,Premium,22.46,173,27,5,2.6,boleto,smart_tv
40,18,Standard,28.47,184,27,3,3,debito,mobile
55,10,Standard,50.23,127,96,3,3.6,credito,smart_tv
72,4,Premium,36.66,27,75,1,4.4,debito,smart_tv
47,33,Standard,48.43,172,146,3,2.5,debito,mobile
70,44,Standard,20.50,155,177,0,2.7,credito,computer
46,46,Premium,28.31,136,47,3,1,boleto,mobile
59,51,Basico,20.15,168,87,1,1.3,credito,smart_tv
40,17,Premium,31.20,72,140,1,3.5,boleto,smart_tv
68,33,Basico,38.56,118,32,0,1.5,credito,computer
38,60,Basico,57.19,79,31,5,1.7,credito,smart_tv
33,52,Basico,42.53,71,84,3,4.5,boleto,smart_tv
35,40,Basico,51.93,181,115,3,4.2,credito,computer
19,55,Standard,51.05,127,80,3,4.1,debito,smart_tv
27,38,Premium,32.70,108,121,1,3.2,debito,smart_tv
41,13,Premium,43.13,193,31,5,2.5,credito,mobile
45,59,Premium,58.32,175,81,0,3.6,boleto,smart_tv
23,48,Standard,46.70,60,26,0,3.8,debito,computer
21,3,Standard,38.21,76,97,1,5,credito,smart_tv
53,6,Premium,58.38,195,118,5,2.9,credito,smart_tv
60,28,Premium,47.37,134,58,4,2.1,credito,smart_tv
20,11,Basico,37.15,93,179,4,4.4,debito,computer
62,50,Basico,53.94,63,180,5,3.5,debito,mobile
68,4,Standard,35.20,9,128,4,3.4,boleto,mobile
40,36,Premium,53.47,57,143,4,2.4,debito,computer
56,46,Basico,35.86,114,154,2,4.9,credito,mobile
45,49,Basico,59.19,39,96,1,1.5,credito,mobile
61,6,Premium,41.13,97,46,4,2.2,boleto,computer
54,21,Standard,24.24,0,41,2,2.4,boleto,computer
55,52,Premium,41.57,31,131,4,3.8,credito,computer
55,26,Premium,31.45,14,79,3,1.8,debito,mobile
58,56,Premium,44.77,96,17,1,4.4,credito,smart_tv
63,19,Premium,27.51,167,23,4,4.8,boleto,computer
25,18,Standard,36.26,168,131,4,3.2,boleto,mobile
18,53,Standard,54.50,104,29,5,1.8,credito,computer
26,59,Standard,50.02,195,14,2,4.1,debito,smart_tv
73,40,Standard,39.82,112,96,5,1.3,boleto,mobile
54,45,Standard,31.25,113,138,1,2.9,boleto,computer
28,37,Basico,35.62,14,59,1,2.8,credito,computer
46,21,Standard,33.05,119,169,5,1.7,boleto,smart_tv
20,23,Basico,47.84,103,161,3,3.3,credito,smart_tv
65,47,Basico,20.82,140,76,1,1.9,boleto,mobile
47,21,Basico,53.91,37,114,3,2.8,credito,smart_tv
35,8,Standard,45.11,125,112,5,2.9,debito,computer
58,39,Basico,47.26,53,117,4,2.2,debito,computer
24,5,Premium,46.70,187,34,1,2.5,boleto,computer
44,34,Basico,47.85,158,29,3,4.9,debito,computer
23,6,Premium,55.72,197,167,5,3.6,credito,mobile
54,4,Premium,57.77,64,96,5,2.2,boleto,mobile
64,18,Standard,26.86,139,56,4,4.9,debito,smart_tv
61,25,Standard,35.72,168,107,5,3.9,credito,computer
58,33,Premium,27.91,166,42,0,3.4,credito,computer
75,47,Standard,39.31,58,94,3,2.6,debito,computer
32,33,Premium,49.22,171,82,5,2.1,debito,mobile
40,34,Premium,54.99,186,88,5,1.6,debito,smart_tv
30,1,Standard,40.44,141,79,1,3.1,credito,smart_tv
71,59,Premium,36.95,123,43,0,1.8,credito,smart_tv
75,37,Standard,50.35,110,174,1,1.7,credito,computer
27,24,Standard,25.01,23,68,0,1.6,credito,smart_tv
31,13,Premium,47.32,189,35,2,1.9,credito,computer
58,24,Standard,49.08,175,114,0,3.6,boleto,mobile
72,13,Standard,36.18,156,81,5,2.8,credito,smart_tv
61,32,Premium,34.96,136,90,4,4.9,boleto,computer
60,42,Standard,26.38,7,78,2,3.7,boleto,mobile
70,46,Basico,33.02,123,134,5,2.9,boleto,smart_tv
71,7,Basico,34.64,184,123,2,3.6,debito,smart_tv
72,27,Basico,21.46,59,146,2,3.5,debito,smart_tv
33,50,Standard,31.94,13,11,3,1.7,credito,computer
32,12,Basico,54.75,67,160,1,1.5,boleto,mobile
39,50,Standard,53.73,92,89,3,1.2,debito,mobile
20,24,Basico,29.37,2,171,2,4.2,boleto,smart_tv
72,52,Standard,42.09,137,129,2,2,debito,mobile
70,27,Basico,46.79,0,51,4,4,debito,computer
31,57,Basico,42.97,63,173,3,2,boleto,computer
64,49,Standard,50.46,15,123,4,2.2,boleto,smart_tv
73,46,Basico,58.05,193,130,3,2.5,credito,computer
28,5,Standard,34.07,57,68,1,4.3,credito,computer
23,13,Standard,42.56,58,80,1,1.5,boleto,computer
32,50,Premium,43.46,65,92,4,3,boleto,computer
62,2,Premium,25.11,74,43,0,2,credito,smart_tv
56,10,Basico,46.96,125,137,5,3.1,boleto,computer
64,25,Basico,25.88,74,122,1,1.7,debito,computer
31,9,Standard,44.70,166,162,0,2.2,boleto,smart_tv
72,23,Premium,32.11,117,39,2,2.1,boleto,computer
74,36,Basico,40.82,41,110,4,2.5,credito,smart_tv
71,25,Premium,50.49,198,68,1,1.2,debito,computer
25,6,Basico,24.60,52,41,2,4.8,boleto,mobile
56,13,Basico,47.74,40,153,4,4,debito,smart_tv
51,30,Standard,53.71,77,35,4,2.5,credito,mobile
71,59,Basico,49.86,5,48,5,3.9,boleto,mobile
24,39,Standard,40.37,122,176,5,4.4,credito,smart_tv
60,34,Standard,37.15,135,86,0,1.9,debito,computer
69,9,Standard,30.93,105,162,5,4,boleto,mobile
22,34,Basico,23.59,104,18,4,3.3,boleto,smart_tv
59,54,Premium,52.98,59,57,5,4.1,credito,smart_tv
65,20,Standard,52.40,95,116,0,1.1,credito,smart_tv
44,32,Premium,38.46,143,95,5,4.4,debito,smart_tv
54,58,Standard,28.99,132,148,4,2.7,boleto,computer
57,35,Basico,54.72,191,166,5,4.6,boleto,mobile
42,55,Basico,45.32,126,155,3,2.1,boleto,mobile
75,54,Premium,31.65,161,125,1,3.8,credito,mobile
26,44,Basico,23.09,89,10,4,1.4,boleto,smart_tv
39,26,Premium,54.47,37,22,5,2.9,boleto,smart_tv
36,49,Basico,51.42,52,71,1,3.5,debito,smart_tv
74,2,Premium,57.49,73,148,2,2.2,debito,computer
47,17,Standard,34.04,38,101,1,3.8,credito,mobile
60,32,Standard,31.63,77,64,2,1,credito,computer
64,47,Standard,26.77,159,80,4,2.4,debito,smart_tv
74,22,Premium,26.00,95,62,3,2.1,debito,smart_tv
39,30,Basico,38.35,5,66,5,2.6,debito,mobile
69,58,Basico,21.71,27,116,1,1.8,debito,computer
39,24,Standard,39.96,139,82,3,4.3,credito,smart_tv
42,57,Basico,36.89,43,163,4,4.5,boleto,mobile
69,34,Premium,41.28,104,145,0,3.9,boleto,smart_tv
40,51,Premium,54.95,84,44,2,4.1,boleto,smart_tv
73,24,Standard,37.85,134,43,5,2.2,boleto,computer
31,36,Basico,40.12,44,155,4,2.9,debito,mobile
41,25,Premium,26.87,131,38,2,1.6,debito,smart_tv
69,7,Standard,38.96,42,139,4,3,credito,computer
52,1,Premium,39.84,59,17,4,2.3,boleto,computer
58,35,Basico,36.90,12,38,5,4.7,debito,smart_tv
58,46,Premium,23.81,146,177,0,2.8,boleto,computer
61,15,Basico,22.44,28,150,2,3.3,credito,mobile
69,22,Basico,28.85,182,33,3,4.9,debito,mobile
66,43,Standard,58.56,6,60,4,3.1,boleto,mobile
36,10,Standard,29.61,182,102,4,1.1,boleto,mobile
32,41,Basico,48.39,34,144,1,2.3,credito,mobile
65,50,Premium,53.83,3,116,4,2.3,boleto,smart_tv
25,28,Standard,20.17,177,67,1,1.2,debito,computer
66,49,Standard,26.53,97,77,5,1.3,debito,smart_tv
31,16,Basico,34.09,121,123,5,3.5,credito,smart_tv
27,59,Standard,46.58,88,39,1,2.9,debito,computer
71,50,Basico,49.53,114,107,1,3.4,credito,computer
56,5,Standard,55.12,139,89,1,3.8,debito,computer
30,18,Basico,34.63,77,52,1,3,credito,smart_tv
44,11,Premium,39.70,138,131,2,2.2,boleto,mobile
57,1,Premium,21.63,85,50,3,3.4,debito,computer
21,3,Basico,51.25,129,120,5,2.7,debito,computer
45,23,Standard,41.73,116,61,3,2.3,debito,mobile
55,49,Standard,28.65,180,113,0,1.2,credito,computer
65,9,Premium,53.08,126,99,5,3.3,debito,mobile
72,23,Standard,52.31,176,125,0,4.6,credito,smart_tv
46,11,Standard,48.83,127,75,4,1.6,debito,mobile
22,1,Premium,49.50,46,61,0,2.8,boleto,mobile
67,38,Basico,40.44,194,153,2,1.7,debito,mobile
64,51,Basico,50.33,142,165,4,2.8,credito,smart_tv
37,19,Basico,32.17,31,90,5,1.1,credito,mobile
52,33,Standard,36.97,46,171,4,1,boleto,mobile
19,23,Basico,38.69,102,84,1,3.3,debito,mobile
45,31,Premium,52.83,142,163,4,1.1,credito,smart_tv
45,38,Premium,45.85,90,139,5,1.7,credito,mobile
52,19,Standard,36.36,3,120,0,3.8,credito,computer
57,39,Basico,58.45,137,31,3,3.2,debito,computer
52,44,Basico,43.07,68,90,3,3.5,debito,mobile
49,29,Standard,51.73,88,175,0,1.7,boleto,smart_tv
73,31,Premium,55.21,141,162,0,1.5,boleto,smart_tv
38,52,Standard,48.22,116,128,5,1.4,debito,computer
48,13,Standard,28.50,148,82,1,2.3,boleto,mobile
72,22,Basico,30.95,135,93,2,4.9,boleto,computer
40,54,Standard,34.73,108,154,4,1.1,credito,mobile
69,21,Basico,36.83,28,110,0,2.5,debito,smart_tv
68,23,Basico,51.50,146,113,1,2.6,boleto,mobile
53,8,Standard,56.11,75,113,0,4.4,credito,mobile
22,59,Standard,56.65,165,91,0,3,credito,mobile
54,31,Basico,53.05,142,74,3,2.6,boleto,computer
64,42,Standard,50.43,70,164,0,4.6,debito,mobile
60,1,Standard,34.91,184,171,2,1.3,debito,smart_tv
53,55,Standard,20.67,51,30,1,3.7,credito,computer
54,34,Premium,37.19,163,130,1,3.2,boleto,computer
34,59,Standard,41.02,135,20,2,4,debito,mobile
49,20,Premium,46.60,131,142,4,4,debito,mobile
71,38,Premium,51.62,106,90,4,4.7,debito,computer
75,3,Standard,45.24,80,74,2,2.5,credito,mobile
53,42,Standard,58.81,39,33,2,2.2,credito,computer
57,46,Basico,19.99,22,11,3,3.3,credito,mobile
43,1,Standard,51.29,180,86,5,3.1,boleto,smart_tv
50,30,Basico,50.52,35,167,5,2.7,boleto,smart_tv
67,55,Basico,25.01,120,100,1,2.6,credito,computer
38,27,Premium,55.50,79,109,0,3.1,boleto,smart_tv
35,49,Standard,26.09,70,76,5,3.3,boleto,computer
30,54,Basico,58.53,96,147,4,3,credito,smart_tv
66,29,Premium,31.33,31,39,0,2.9,debito,smart_tv
45,20,Standard,58.68,58,42,0,2,credito,mobile
46,54,Basico,53.05,193,27,4,2.2,credito,smart_tv
29,51,Standard,38.84,5,60,5,4.5,boleto,mobile
26,40,Standard,28.01,51,28,1,2.8,credito,smart_tv
30,33,Premium,59.62,21,180,3,1.2,credito,mobile
34,21,Basico,36.26,124,151,4,3.7,boleto,mobile
24,17,Premium,53.39,184,123,1,2.7,credito,computer
72,32,Basico,48.47,118,25,4,4.8,boleto,mobile
24,48,Standard,43.29,87,174,2,3.6,credito,mobile
29,1,Standard,57.31,96,14,4,4.7,boleto,mobile
62,46,Basico,59.36,45,34,2,3,credito,smart_tv
35,54,Basico,22.90,57,167,1,4.5,debito,computer
41,35,Basico,27.89,104,145,2,1.4,boleto,mobile
40,48,Premium,57.85,172,91,3,4.5,credito,computer
41,22,Standard,21.18,72,145,5,1,debito,smart_tv
55,39,Basico,34.85,45,48,1,2.7,credito,smart_tv
38,33,Standard,30.01,166,49,2,4.5,credito,smart_tv
18,37,Basico,51.95,185,141,5,1.2,debito,computer
66,43,Basico,47.03,177,90,3,2.6,credito,smart_tv
37,7,Premium,57.47,179,11,0,3.1,debito,computer
75,5,Premium,28.12,139,76,2,4.4,debito,smart_tv
74,8,Basico,27.69,199,41,0,2.5,credito,computer
24,29,Premium,23.28,140,60,2,1.9,boleto,computer
64,2,Basico,41.67,74,150,1,4.9,credito,computer
32,44,Basico,22.80,70,99,5,3.2,debito,smart_tv
59,7,Basico,31.69,70,25,0,2.1,boleto,mobile
39,44,Premium,59.56,105,34,3,4.3,boleto,computer
71,33,Basico,28.17,75,175,0,2.6,debito,computer
29,41,Basico,43.86,92,24,1,4.5,boleto,mobile
20,14,Basico,32.62,29,160,2,1.5,boleto,computer
47,48,Premium,44.81,165,38,4,3,boleto,computer
45,45,Basico,28.76,32,82,3,1.8,debito,mobile
53,57,Standard,57.01,172,115,2,2.8,debito,mobile
73,20,Standard,31.66,82,24,5,1,debito,smart_tv
41,55,Basico,24.08,49,145,3,2.4,debito,mobile
21,58,Basico,47.08,176,143,4,3.8,debito,smart_tv
21,24,Basico,44.16,147,162,0,1.2,boleto,smart_tv
69,39,Standard,29.26,4,86,3,2.6,boleto,computer
35,39,Basico,54.10,83,136,0,3.8,debito,mobile
59,9,Premium,45.58,67,36,2,3.7,boleto,smart_tv
66,28,Basico,37.42,28,21,1,2.1,debito,smart_tv
73,13,Standard,36.49,94,79,2,1,debito,smart_tv
35,42,Standard,41.77,10,55,1,3.3,credito,mobile
21,14,Basico,59.83,47,157,2,4.7,debito,mobile
75,20,Premium,58.13,127,113,4,3.8,debito,mobile
19,8,Standard,33.30,148,167,4,1.8,debito,mobile
18,20,Premium,52.15,86,82,3,4.5,credito,computer
47,26,Standard,32.24,165,166,5,3.4,boleto,mobile
60,36,Basico,32.85,68,63,4,2.1,boleto,smart_tv
42,26,Standard,50.13,166,86,0,4,debito,mobile
55,15,Basico,50.69,30,81,5,4.3,debito,smart_tv
60,52,Premium,39.74,44,37,0,2.5,debito,computer
23,54,Standard,36.94,199,22,1,5,debito,smart_tv
19,10,Standard,42.26,121,47,1,2.2,boleto,mobile
36,4,Standard,34.82,24,73,4,2.5,boleto,mobile
48,21,Premium,27.89,145,167,0,2.6,credito,smart_tv
37,50,Standard,48.37,25,22,5,1,debito,mobile
45,42,Standard,28.35,192,118,2,3.4,debito,smart_tv
21,6,Standard,36.93,182,67,2,1.6,credito,smart_tv
18,35,Standard,56.32,141,157,0,4.3,debito,computer
25,45,Premium,47.51,93,136,1,2.9,boleto,smart_tv
