idade,genero,regiao,tipo_contrato,metodo_pagamento,plano_assinatura,valor_mensal,tempo_assinatura_meses,dias_ultimo_acesso,acessibilidade,contatos_suporte,visualizacoes_mes,tempo_medio_sessao_min,dispositivo_principal,categoria_favorita,avaliacao_conteudo_media,avaliacao_conteudo_ultimo_mes,avaliacao_plataforma,tem_avaliacao_conteudo_media,tem_avaliacao_conteudo_ultimo_mes,tem_avaliacao_plataforma,visualizacoes_por_dia,engajamento_score,risco_score,inativo_flag
42,2,3,0,2,2,38.0,4,52,0,0,0,118,0,2,4.5,,2.5,1,0,1,0.0,0.1895582329317269,0.3,1
25,1,4,1,5,0,24.9,36,17,0,0,77,44,1,2,,,3.0,0,0,1,2.566666666666667,0.3612487686595438,0.0,0
35,1,3,1,2,1,38.0,10,69,0,3,0,17,0,2,2.0,,4.0,1,0,1,0.0,0.0273092369477911,0.36875,1
72,2,1,1,5,0,24.9,11,35,0,0,0,79,2,5,4.0,,4.0,1,0,1,0.0,0.1269076305220883,0.15,1
34,0,4,1,1,0,24.9,19,19,0,1,75,122,1,2,3.5,3.0,2.5,1,1,1,2.5,0.4790028036675002,0.0,0
32,1,1,0,2,1,32.0,6,17,0,1,119,136,0,5,4.0,,,1,0,0,3.966666666666667,0.6675304993559141,0.0687499999999999,0
51,1,4,1,3,0,24.9,5,58,0,0,0,21,2,4,1.5,,5.0,1,0,1,0.0,0.0337349397590361,0.33125,1
55,1,1,0,2,2,38.0,0,0,0,0,112,87,0,4,,3.0,,0,1,0,3.733333333333333,0.5624005455785406,0.0,0
26,1,2,1,5,0,24.9,4,47,0,1,0,18,3,1,1.5,,,1,0,0,0.0,0.0289156626506024,0.26875,1
28,1,1,1,3,2,49.9,6,28,0,1,17,101,1,0,4.5,,3.0,1,0,1,0.5666666666666667,0.2263999393801621,0.1374999999999999,0
49,1,1,1,5,1,38.0,21,38,0,2,0,113,1,3,4.5,,5.0,1,0,1,0.0,0.1815261044176707,0.1062499999999999,1
54,4,4,1,3,0,24.9,27,52,0,3,0,24,1,3,2.0,,2.0,1,0,1,0.0,0.0385542168674698,0.15625,1
30,1,0,0,2,2,38.0,8,15,0,2,91,93,3,5,5.0,,1.0,1,0,1,3.033333333333333,0.4927938167765401,0.0437499999999999,0
25,0,3,1,0,0,24.9,2,7,0,1,55,121,3,2,1.0,,4.0,1,0,1,1.8333333333333333,0.4019246798514814,0.03125,0
28,1,1,0,2,2,38.0,20,13,0,0,34,105,3,0,,4.5,,0,1,0,1.1333333333333333,0.2969765855876335,0.0,0
38,1,3,1,0,0,24.9,23,18,0,0,13,33,2,2,2.0,2.0,3.5,1,1,1,0.4333333333333333,0.1020686519663559,0.0,0
35,0,3,0,2,2,38.0,12,8,0,2,51,77,1,5,,5.0,1.0,0,1,1,1.7,0.316147609305145,0.0,0
54,0,4,0,2,1,32.0,3,13,0,4,91,52,0,3,,5.0,3.5,0,1,1,3.033333333333333,0.426930362961279,0.0625,0
35,1,3,1,2,2,49.9,29,41,0,1,0,113,1,1,,,1.5,0,0,1,0.0,0.1815261044176707,0.0749999999999999,1
21,1,0,1,1,1,38.0,6,6,0,2,101,48,1,0,4.0,4.5,,1,1,0,3.3666666666666667,0.4582405092066378,0.0,0
43,1,4,1,2,2,49.9,5,11,0,0,96,36,1,3,4.0,,5.0,1,0,1,3.2,0.420095476244601,0.0374999999999999,0
18,0,3,0,2,1,32.0,3,8,0,0,42,115,3,0,,,1.5,0,0,1,1.4,0.343229521861029,0.0312499999999999,0
34,1,1,1,5,0,24.9,9,31,0,2,0,93,1,2,1.5,,,1,0,0,0.0,0.1493975903614458,0.1375,0
28,1,2,0,2,1,32.0,19,36,0,1,0,98,1,2,4.5,,1.0,1,0,1,0.0,0.157429718875502,0.10625,1
25,1,3,1,2,1,38.0,13,9,0,2,11,116,2,1,4.0,3.5,5.0,1,1,1,0.3666666666666666,0.2278548154883685,0.0,0
18,1,3,1,5,0,24.9,44,36,0,0,0,19,1,5,,,1.5,0,0,1,0.0,0.0305220883534136,0.0,1
25,2,2,0,2,1,32.0,18,36,0,0,0,19,1,4,2.0,,5.0,1,0,1,0.0,0.0305220883534136,0.1125,1
40,0,3,1,5,2,49.9,2,21,0,2,5,20,2,2,,2.5,5.0,0,1,1,0.1666666666666666,0.0509964385845267,0.1187499999999999,0
50,0,1,1,3,1,38.0,45,24,0,0,6,36,2,0,,4.5,3.0,0,1,1,0.2,0.080472834735167,0.0,0
36,2,3,0,2,1,32.0,35,7,0,2,59,121,2,5,3.5,4.5,2.0,1,1,1,1.9666666666666663,0.4170190194741229,0.0,0
23,1,3,1,1,0,24.9,23,72,0,2,0,19,3,2,,,2.5,0,0,1,0.0,0.0305220883534136,0.30625,1
18,0,3,1,2,1,38.0,16,25,0,4,10,140,1,3,4.0,5.0,1.0,1,1,1,0.3333333333333333,0.2626354474501781,0.05625,0
32,0,1,1,5,1,38.0,1,13,0,2,66,60,3,5,,3.5,3.5,0,1,1,2.2,0.3454421459422596,0.075,0
42,0,3,1,1,2,49.9,7,11,0,4,57,91,1,5,4.0,3.5,,1,1,0,1.9,0.3612790785784647,0.0249999999999999,0
57,2,0,1,2,1,38.0,14,16,0,5,71,127,3,2,4.0,4.5,2.5,1,1,1,2.3666666666666667,0.4719405925589149,0.0124999999999999,0
45,0,4,0,2,2,38.0,9,44,0,3,0,95,1,5,4.0,,2.0,1,0,1,0.0,0.1526104417670682,0.2187499999999999,1
18,0,3,1,2,2,49.9,2,44,0,1,0,49,2,2,5.0,,,1,0,0,0.0,0.078714859437751,0.2624999999999999,1
23,0,3,0,2,2,38.0,42,45,1,1,0,88,3,5,,,,0,0,0,0.0,0.1413654618473895,0.0187499999999999,1
37,0,4,1,2,0,24.9,27,23,0,2,17,89,3,0,4.0,,5.0,1,0,1,0.5666666666666667,0.2071228309464272,0.0,0
23,0,0,1,2,2,49.9,1,22,0,3,7,53,1,0,,,,0,0,0,0.2333333333333333,0.1115556565886186,0.1312499999999999,0
40,1,3,0,2,0,22.0,8,8,0,0,100,18,2,2,2.5,3.5,3.5,1,1,1,3.333333333333333,0.4062741532166401,0.0,0
45,0,4,0,2,1,32.0,18,36,0,0,0,153,2,5,4.0,,,1,0,0,0.0,0.2457831325301205,0.1125,1
36,1,3,1,5,1,38.0,7,22,1,1,3,24,1,0,2.0,,1.5,1,0,1,0.1,0.049874971584451,0.0937499999999999,0
48,2,4,0,2,0,22.0,8,20,0,0,16,5,1,2,,,4.0,0,0,1,0.5333333333333333,0.0684094870046222,0.075,0
20,0,3,1,5,0,24.9,9,16,0,0,30,5,0,5,4.5,1.5,2.5,1,1,1,1.0,0.1212396756838675,0.04375,0
21,4,3,1,2,1,38.0,3,31,0,0,0,79,0,3,,,,0,0,0,0.0,0.1269076305220883,0.175,0
21,4,1,0,2,1,32.0,8,10,0,0,77,43,0,0,4.0,5.0,3.5,1,1,1,2.566666666666667,0.3596423429567326,0.0125,0
32,0,3,1,2,0,24.9,25,3,0,1,70,111,3,2,,,1.5,0,0,1,2.333333333333333,0.4424641964082746,0.0,0
22,0,3,1,1,0,24.9,21,38,0,1,0,68,0,0,3.5,,,1,0,0,0.0,0.1092369477911646,0.1062499999999999,1
31,1,3,1,2,1,38.0,5,60,0,2,0,30,1,5,2.0,,3.0,1,0,1,0.0,0.0481927710843373,0.3437499999999999,1
50,4,1,1,4,0,24.9,29,2,0,1,42,23,0,3,,,,0,0,0,1.4,0.1954383572023944,0.0,0
43,1,3,1,3,2,49.9,36,19,0,0,50,91,3,5,4.0,4.5,,1,1,0,1.6666666666666667,0.3348639842388421,0.0,0
35,1,3,1,1,1,38.0,21,37,0,1,0,77,1,2,4.0,,4.5,1,0,1,0.0,0.1236947791164658,0.0999999999999999,1
41,4,3,1,5,0,24.9,3,21,0,0,7,147,2,2,3.5,3.0,4.0,1,1,1,0.2333333333333333,0.2625596726528756,0.1124999999999999,0
45,1,1,1,1,1,38.0,14,36,0,6,0,11,3,1,,,1.5,0,0,1,0.0,0.0176706827309236,0.1375,1
54,0,3,1,3,0,24.9,1,6,0,0,58,132,0,0,,3.5,3.0,0,1,1,1.9333333333333331,0.4309161172993862,0.03125,0
18,1,4,0,2,1,32.0,0,1,0,1,31,5,3,5,,1.5,3.5,0,1,1,1.0333333333333334,0.1250132605895279,0.0062499999999999,0
38,1,1,1,5,1,38.0,12,14,0,0,24,95,2,1,5.0,3.5,,1,1,0,0.8,0.2431764795029173,0.0124999999999999,0
31,0,4,1,4,1,38.0,6,11,0,0,96,53,1,5,4.5,3.5,2.5,1,1,1,3.2,0.4474047131923921,0.0312499999999999,0
20,1,4,1,1,0,24.9,8,51,0,2,0,37,1,0,4.0,,5.0,1,0,1,0.0,0.059437751004016,0.26875,1
44,0,1,1,4,0,24.9,42,31,1,2,0,40,1,3,,,,0,0,0,0.0,0.0642570281124498,0.0,0
18,3,2,0,2,2,38.0,14,31,0,0,0,40,3,2,,,3.5,0,0,1,0.0,0.0642570281124498,0.10625,0
51,1,1,1,1,2,49.9,0,0,0,3,30,32,1,5,,,1.5,0,0,1,1.0,0.1646131696597711,0.0,0
26,0,3,0,2,2,38.0,1,9,0,1,35,117,1,1,,,1.5,0,0,1,1.1666666666666667,0.3200272789270288,0.05,0
25,1,3,1,2,0,24.9,15,11,0,4,61,118,3,5,4.0,5.0,5.0,1,1,1,2.033333333333333,0.4197469121770099,0.0,0
45,1,2,1,5,0,24.9,2,6,0,1,16,23,3,1,,1.0,2.5,0,1,1,0.5333333333333333,0.0973251496552246,0.025,0
18,0,3,0,2,2,38.0,15,14,0,0,63,115,2,5,4.0,4.5,5.0,1,1,1,2.1,0.4224748048798969,0.0,0
31,0,1,0,2,1,32.0,0,1,0,3,59,59,3,2,,3.5,2.5,0,1,1,1.9666666666666663,0.3174206258998256,0.0062499999999999,0
18,4,4,1,3,2,49.9,14,59,0,1,0,11,3,1,2.0,,2.0,1,0,1,0.0,0.0176706827309236,0.2812499999999999,1
18,0,1,1,3,0,24.9,10,23,0,1,13,93,1,4,4.0,4.0,,1,1,0,0.4333333333333333,0.1984541941350306,0.0812499999999999,0
31,4,4,1,1,1,38.0,2,15,0,0,66,51,3,0,4.0,3.0,1.0,1,1,1,2.2,0.3309843146169584,0.0812499999999999,0
40,4,4,1,1,0,24.9,29,15,0,1,21,106,0,3,4.0,5.0,2.0,1,1,1,0.7,0.2495264075168599,0.0,0
38,2,3,1,0,0,24.9,2,34,0,2,0,15,3,0,2.0,,4.0,1,0,1,0.0,0.0240963855421686,0.1999999999999999,0
29,1,3,1,2,0,24.9,8,27,0,2,1,31,1,5,1.5,1.5,2.5,1,1,1,0.0333333333333333,0.0535727816928089,0.11875,0
25,0,4,0,2,1,32.0,2,17,0,2,60,96,3,5,,,1.5,0,0,1,2.0,0.3806319618095022,0.0937499999999999,0
29,0,1,0,2,1,32.0,7,11,0,1,10,77,1,2,4.0,4.0,3.0,1,1,1,0.3333333333333333,0.1614306281730696,0.0249999999999999,0
19,0,2,1,3,1,38.0,0,1,0,1,94,119,3,4,,3.5,4.0,0,1,1,3.1333333333333333,0.5458816397666136,0.0062499999999999,0
18,4,0,1,3,0,24.9,41,16,0,1,35,5,0,5,4.0,5.0,1.5,1,1,1,1.1666666666666667,0.1401076002121694,0.0,0
52,0,3,1,1,0,24.9,8,7,1,0,60,130,1,0,,4.0,5.0,0,1,1,2.0,0.4352504357050845,0.0,0
39,0,3,1,5,0,24.9,27,12,0,1,77,75,3,2,4.0,3.5,,1,1,0,2.566666666666667,0.4110479654466924,0.0,0
65,0,3,0,2,2,38.0,8,11,0,1,57,71,1,2,3.5,,,1,0,0,1.9,0.3291505645222399,0.0187499999999999,0
41,1,1,1,2,0,24.9,4,5,0,1,75,85,3,1,4.0,,1.5,1,0,1,2.5,0.4195650526634841,0.00625,0
39,1,1,1,2,0,24.9,0,1,0,2,33,37,0,2,,,,0,0,0,1.1,0.1839660528908085,0.0062499999999999,0
55,1,3,1,2,0,24.9,10,15,0,2,71,53,1,4,4.0,4.5,,1,1,0,2.3666666666666667,0.3530650905508827,0.0312499999999999,0
29,0,1,1,3,1,38.0,2,30,0,0,13,123,3,5,4.0,4.5,,1,1,0,0.4333333333333333,0.246646965219368,0.1749999999999999,0
45,0,1,0,2,2,38.0,15,18,0,2,55,100,3,0,4.0,,3.0,1,0,1,1.8333333333333333,0.3681897400924452,0.01875,0
40,0,3,1,1,2,49.9,4,48,0,0,0,26,3,2,,,5.0,0,0,1,0.0,0.0417670682730923,0.2749999999999999,1
53,0,3,1,2,0,24.9,33,14,0,1,62,48,0,1,,4.5,1.5,0,1,1,2.066666666666667,0.3110706978858831,0.0,0
64,0,3,1,1,0,24.9,1,3,0,1,72,83,2,0,,,,0,0,0,2.4,0.4050314465408805,0.0125,0
35,1,1,0,2,2,38.0,39,22,1,1,13,31,0,1,5.0,4.5,2.5,1,1,1,0.4333333333333333,0.0988558005607335,0.0,0
18,1,3,1,2,1,38.0,31,26,0,2,11,77,0,2,,4.5,,0,1,0,0.3666666666666666,0.16520421307873,0.0,0
39,1,0,1,1,1,38.0,48,36,0,0,0,19,3,4,,,4.0,0,0,1,0.0,0.0305220883534136,0.0,1
50,1,3,0,2,2,38.0,0,0,0,1,44,30,1,2,,,1.0,0,0,1,1.4666666666666666,0.2142305069333939,0.0,0
56,0,1,0,2,1,32.0,29,15,0,2,102,87,3,5,4.0,3.0,3.0,1,1,1,3.4,0.5246646965219368,0.0,0
18,1,1,0,2,2,38.0,1,22,0,0,14,83,2,1,,4.5,1.5,0,1,1,0.4666666666666667,0.1861635220125786,0.1312499999999999,0
49,4,1,1,1,0,24.9,33,20,0,1,115,64,1,5,4.0,3.5,4.0,1,1,1,3.8333333333333335,0.536773509130863,0.0,0
18,0,3,1,2,0,24.9,22,24,0,1,3,86,1,2,2.5,,2.0,1,0,1,0.1,0.1494733651587482,0.0125,0
43,0,3,1,4,0,24.9,6,15,0,1,14,5,3,5,,1.0,3.5,0,1,1,0.4666666666666667,0.0608623171933015,0.0562499999999999,0
18,1,3,1,1,1,38.0,26,10,1,0,74,29,3,2,,5.0,4.0,0,1,1,2.466666666666667,0.325831628400394,0.0,0
27,0,4,0,2,0,22.0,14,16,0,1,53,99,0,5,,,2.0,0,0,1,1.7666666666666666,0.3590361445783132,0.0124999999999999,0
54,1,3,0,2,1,32.0,6,6,0,0,86,70,3,2,4.0,,,1,0,0,2.8666666666666667,0.4369781010835796,0.0,0
46,0,4,1,2,0,24.9,13,6,0,2,57,32,1,2,4.0,4.5,4.0,1,1,1,1.9,0.2664999621126013,0.0,0
18,0,1,1,1,1,38.0,3,42,0,1,0,97,1,0,3.0,,3.5,1,0,1,0.0,0.1558232931726907,0.2437499999999999,1
42,0,3,1,2,1,38.0,29,29,1,4,0,108,2,5,5.0,,1.0,1,0,1,0.0,0.1734939759036144,0.0,0
51,1,4,0,2,1,32.0,9,37,0,2,0,148,2,5,4.0,,1.0,1,0,1,0.0,0.2377510040160642,0.175,1
44,1,4,1,4,0,24.9,0,0,0,2,76,87,2,5,,4.5,,0,1,0,2.533333333333333,0.426551488974767,0.0,0
44,1,3,0,2,2,38.0,35,58,0,1,0,22,3,4,1.5,,2.0,1,0,1,0.0,0.0353413654618473,0.14375,1
25,1,4,0,2,0,22.0,3,27,0,0,15,68,2,5,4.0,3.5,,1,1,0,0.5,0.1658407213760703,0.15,0
43,0,4,1,2,1,38.0,25,4,0,1,79,107,1,1,,,1.5,0,0,1,2.6333333333333333,0.470000757747973,0.0,0
22,1,4,1,3,2,49.9,1,13,0,1,48,54,1,2,,4.5,,0,1,0,1.6,0.2678790634235053,0.075,0
43,0,4,1,1,1,38.0,0,0,0,0,0,41,1,1,,5.0,,0,1,0,0.0,0.065863453815261,0.0,0
23,1,3,1,3,1,38.0,0,0,0,1,82,107,1,2,,,5.0,0,0,1,2.7333333333333334,0.4813215124649541,0.0,0
44,1,4,1,4,2,49.9,11,12,0,0,11,12,3,2,3.0,,,1,0,0,0.3666666666666666,0.060786542395999,0.00625,0
18,0,2,1,4,0,24.9,1,19,0,2,53,87,3,5,,,,0,0,0,1.7666666666666666,0.3397590361445783,0.1124999999999999,0
21,0,0,1,5,1,38.0,10,20,0,2,21,29,1,1,1.5,,3.0,1,0,1,0.7,0.125831628400394,0.0625,0
25,0,3,1,2,0,24.9,2,44,0,2,0,73,2,2,,,1.5,0,0,1,0.0,0.1172690763052208,0.2624999999999999,1
18,1,3,1,2,2,49.9,3,81,0,1,0,5,2,3,4.0,,,1,0,0,0.0,0.0080321285140562,0.4875,1
35,1,4,1,5,0,24.9,0,1,0,1,86,100,0,5,,3.0,,0,1,0,2.8666666666666667,0.4851708721679169,0.0062499999999999,0
37,4,4,1,1,1,38.0,8,33,0,0,0,43,0,5,1.5,,,1,0,0,0.0,0.0690763052208835,0.15625,0
33,0,4,0,2,2,38.0,1,4,0,0,81,181,3,1,,3.0,,0,1,0,2.7,0.5964234295673259,0.01875,0
45,1,3,1,1,0,24.9,11,6,0,2,55,109,1,2,5.0,,3.5,1,0,1,1.8333333333333333,0.3826475714177464,0.0,0
37,0,3,1,1,1,38.0,0,1,0,1,96,83,0,5,,3.0,2.5,0,1,1,3.2,0.4955974842767295,0.0062499999999999,0
54,2,1,1,2,0,24.9,48,52,0,2,0,93,3,0,,,2.0,0,0,1,0.0,0.1493975903614458,0.025,1
51,1,2,1,1,0,24.9,13,46,0,1,0,48,3,5,2.0,,,1,0,0,0.0,0.0771084337349397,0.20625,1
18,0,3,0,2,1,32.0,5,65,0,1,0,31,3,3,,,2.5,0,0,1,0.0,0.0497991967871485,0.375,1
43,0,0,0,2,2,38.0,8,29,0,1,15,53,1,0,4.0,,4.5,1,0,1,0.5,0.1417443358339016,0.13125,0
25,1,1,0,2,2,38.0,20,28,0,2,14,83,0,3,4.0,,2.5,1,0,1,0.4666666666666667,0.1861635220125786,0.0499999999999999,0
46,2,1,1,1,1,38.0,39,30,0,4,10,98,1,3,4.0,,,1,0,0,0.3333333333333333,0.1951655679321058,0.0,0
37,0,1,1,2,0,24.9,17,45,0,2,0,40,2,1,1.5,,3.5,1,0,1,0.0,0.0642570281124498,0.175,1
18,1,1,1,1,0,24.9,34,82,0,0,0,150,0,5,,,5.0,0,0,1,0.0,0.2409638554216867,0.2999999999999999,1
28,0,4,0,2,0,22.0,0,1,0,0,64,92,3,5,,,,0,0,0,2.1333333333333333,0.3893005986208987,0.0062499999999999,0
27,0,3,0,2,0,22.0,29,13,0,1,62,79,0,5,4.0,,3.5,1,0,1,2.066666666666667,0.3608698946730317,0.0,0
49,4,3,0,2,2,38.0,10,43,1,0,0,102,2,0,4.0,,1.0,1,0,1,0.0,0.163855421686747,0.20625,1
42,4,3,1,4,0,24.9,19,3,0,0,68,99,1,3,4.0,4.0,4.5,1,1,1,2.2666666666666666,0.4156399181632189,0.0,0
35,1,0,1,3,1,38.0,18,37,0,1,0,109,1,5,4.0,,2.0,1,0,1,0.0,0.1751004016064257,0.11875,1
41,1,4,1,2,2,49.9,12,10,0,1,6,54,2,1,3.5,,2.0,1,0,1,0.2,0.1093884973857695,0.0,0
26,1,1,1,4,0,24.9,0,1,0,0,17,20,0,5,,,5.0,0,0,1,0.5666666666666667,0.0962794574524513,0.0062499999999999,0
53,1,4,1,2,0,24.9,0,0,0,0,73,68,1,2,,4.5,1.5,0,1,1,2.433333333333333,0.3847086459043722,0.0,0
38,0,3,1,3,0,24.9,28,7,0,0,84,141,1,5,3.5,3.5,1.5,1,1,1,2.8,0.5434871561718573,0.0,0
27,4,3,0,2,2,38.0,6,18,0,1,35,140,2,1,,4.5,4.0,0,1,1,1.1666666666666667,0.3569750700916875,0.075,0
57,0,0,0,2,2,38.0,7,22,0,2,11,102,1,0,,,4.0,0,0,1,0.3666666666666666,0.2053648556490111,0.0937499999999999,0
19,0,0,0,2,2,38.0,11,7,0,2,42,58,2,1,4.0,3.0,,1,1,0,1.4,0.251663256800788,0.0,0
35,3,3,0,2,2,38.0,20,11,0,2,55,97,1,0,4.0,,3.5,1,0,1,1.8333333333333333,0.3633704629840115,0.0,0
26,4,0,0,2,1,32.0,4,40,0,1,0,99,3,5,5.0,,2.0,1,0,1,0.0,0.1590361445783132,0.225,1
51,0,1,0,2,1,32.0,10,27,0,4,9,66,2,5,4.0,5.0,4.0,1,1,1,0.3,0.1399863605364855,0.1062499999999999,0
38,4,4,0,2,1,32.0,15,39,0,1,0,61,0,5,4.0,,3.5,1,0,1,0.0,0.0979919678714859,0.1499999999999999,1
57,1,3,1,1,1,38.0,0,0,1,3,32,134,1,0,,4.5,1.5,0,1,1,1.0666666666666669,0.3360157611578389,0.0,0
52,1,4,0,2,1,32.0,39,6,0,2,69,83,2,1,4.0,,3.0,1,0,1,2.3,0.3937106918238994,0.0,0
31,1,3,1,2,1,38.0,16,11,0,1,119,68,2,5,,3.5,3.0,0,1,1,3.966666666666667,0.5582935515647496,0.0,0
36,0,1,1,3,0,24.9,32,11,0,1,119,61,0,5,4.0,3.5,1.5,1,1,1,3.966666666666667,0.5470485716450708,0.0,0
46,1,4,1,1,0,24.9,30,8,0,0,37,150,3,0,5.0,,1.5,1,0,1,1.2333333333333334,0.3805864969311207,0.0,0
24,2,0,1,2,0,24.9,8,7,1,3,10,32,0,1,2.0,,2.0,1,0,1,0.3333333333333333,0.0891414715465636,0.0,0
39,0,4,0,2,0,22.0,20,11,0,1,75,133,0,5,4.0,,1.0,1,0,1,2.5,0.4966734863984239,0.0,0
35,1,3,1,4,1,38.0,0,1,0,0,68,111,3,2,,3.0,4.0,0,1,1,2.2666666666666666,0.4349170265969538,0.0062499999999999,0
46,0,3,1,3,1,38.0,2,21,0,0,9,75,3,5,4.0,,4.5,1,0,1,0.3,0.1544441918617868,0.1187499999999999,0
55,0,3,1,5,1,38.0,15,28,0,3,21,45,3,2,,,,0,0,0,0.7,0.1515344396453739,0.0812499999999999,0
35,1,3,1,2,1,38.0,0,0,0,0,29,136,1,3,,3.0,3.0,0,1,1,0.9666666666666668,0.3279078578464802,0.0,0
25,1,3,0,2,2,38.0,24,37,0,0,0,89,3,4,3.5,,4.5,1,0,1,0.0,0.1429718875502008,0.0812499999999999,1
48,1,0,1,1,1,38.0,13,19,0,2,61,137,3,5,4.5,,5.0,1,0,1,2.033333333333333,0.4502690005304235,0.0375,0
42,0,3,1,2,1,38.0,10,7,0,2,104,56,3,0,3.5,,,1,0,0,3.466666666666667,0.4824126695461089,0.0,0
45,1,0,1,1,0,24.9,0,1,0,6,19,37,1,0,,1.0,3.5,0,1,1,0.6333333333333333,0.1311358642115632,0.0062499999999999,0
35,0,0,0,2,1,32.0,22,10,1,0,59,104,1,2,4.0,,,1,0,0,1.9666666666666663,0.3897097825263317,0.0,0
44,0,1,1,0,0,24.9,18,12,1,4,16,11,0,0,,2.5,,0,1,0,0.5333333333333333,0.0780480412214897,0.0,0
42,1,1,1,1,0,24.9,8,26,1,1,9,119,3,3,4.0,,1.5,1,0,1,0.3,0.2251269227854815,0.1125,0
19,1,4,1,3,1,38.0,3,9,0,0,66,113,0,3,,3.0,1.0,0,1,1,2.2,0.4305827081912556,0.0375,0
39,0,0,1,1,2,49.9,11,31,0,1,0,32,2,2,4.5,,2.0,1,0,1,0.0,0.0514056224899598,0.125,0
49,1,3,1,1,0,24.9,0,1,0,1,53,112,1,1,,,2.0,0,0,1,1.7666666666666666,0.3799196787148594,0.0062499999999999,0
37,0,4,1,3,0,24.9,11,42,0,1,0,5,3,2,4.0,,5.0,1,0,1,0.0,0.0080321285140562,0.1937499999999999,1
18,1,3,1,2,2,49.9,3,9,0,0,82,110,1,2,4.0,4.5,3.5,1,1,1,2.7333333333333334,0.4861407895733879,0.0375,0
26,1,1,0,2,2,38.0,3,27,0,2,16,193,1,5,4.0,,1.0,1,0,1,0.5333333333333333,0.3704175191331363,0.15,0
40,0,3,0,2,1,32.0,13,10,0,0,89,23,1,2,5.0,4.0,1.0,1,1,1,2.966666666666667,0.3727968477684322,0.0,0
27,1,2,1,5,0,24.9,13,17,0,2,8,22,3,1,2.0,,1.5,1,0,1,0.2666666666666666,0.0655300447071304,0.0249999999999999,0
53,1,1,0,2,2,38.0,7,29,0,0,6,28,3,2,5.0,3.5,5.0,1,1,1,0.2,0.0676214291126771,0.1374999999999999,0
27,0,2,1,5,0,24.9,41,19,0,0,12,37,1,1,,1.5,,0,1,0,0.4,0.1047207698719406,0.0,0
51,0,1,1,2,1,38.0,10,9,0,2,25,19,0,2,4.0,1.0,3.5,1,1,1,0.8333333333333334,0.124861710994923,0.0,0
40,1,1,1,1,0,24.9,5,3,0,1,58,55,0,2,4.0,4.0,,1,1,0,1.9333333333333331,0.3072213381829203,0.0,0
26,0,0,0,2,1,32.0,28,6,0,0,32,112,0,5,2.0,,,1,0,0,1.0666666666666669,0.3006743956959915,0.0,0
49,0,3,1,2,2,49.9,5,9,0,0,74,51,1,2,5.0,,,1,0,0,2.466666666666667,0.3611729938622414,0.025,0
58,0,4,1,1,0,24.9,48,18,0,0,69,24,3,2,,3.5,,0,1,0,2.3,0.2989315753580359,0.0,0
52,2,3,1,2,2,49.9,4,16,0,2,67,111,2,1,4.0,3.0,3.5,1,1,1,2.2333333333333334,0.4311434416912935,0.075,0
48,0,3,1,1,2,49.9,14,1,0,1,19,48,1,0,,,2.0,0,0,1,0.6333333333333333,0.1488065469424869,0.0,0
33,0,3,0,2,1,32.0,0,1,0,1,95,79,3,1,,5.0,,0,1,0,3.1666666666666665,0.4853981965598242,0.0062499999999999,0
36,0,3,1,2,0,24.9,0,0,0,3,8,19,1,1,,,3.0,0,0,1,0.2666666666666666,0.0607107675986966,0.0,0
25,1,3,0,2,2,38.0,1,25,0,2,6,147,1,2,,3.5,3.5,0,1,1,0.2,0.2587860877472153,0.15,0
37,0,2,1,2,0,24.9,6,8,0,0,74,120,1,5,,,4.0,0,0,1,2.466666666666667,0.4720163673562173,0.0124999999999999,0
49,0,3,1,1,1,38.0,5,18,0,1,52,62,1,0,,,4.0,0,0,1,1.7333333333333334,0.2958248086686368,0.08125,0
61,1,4,1,4,0,24.9,0,0,0,1,47,91,2,3,,3.0,,0,1,0,1.5666666666666669,0.323543229521861,0.0,0
38,4,1,0,2,2,38.0,8,26,0,1,7,87,3,5,4.0,3.0,2.5,1,1,1,0.2333333333333333,0.1661741304842009,0.1125,0
44,3,2,1,2,0,24.9,10,15,0,1,67,115,3,5,4.0,3.0,4.0,1,1,1,2.2333333333333334,0.4375691445025385,0.0312499999999999,0
54,0,3,0,2,1,32.0,6,6,0,1,88,95,2,0,4.0,3.5,3.0,1,1,1,2.933333333333333,0.4846859134651815,0.0,0
18,1,3,1,1,0,24.9,9,13,1,4,8,26,1,1,2.5,,4.5,1,0,1,0.2666666666666666,0.0719557475183753,0.025,0
47,1,3,1,5,0,24.9,8,33,1,1,0,113,1,5,,,2.0,0,0,1,0.0,0.1815261044176707,0.15625,0
40,0,1,0,2,1,32.0,21,39,0,0,0,115,2,0,,,,0,0,0,0.0,0.1847389558232932,0.1124999999999999,1
47,0,3,1,5,0,24.9,12,16,0,1,0,25,1,5,2.0,1.5,4.5,1,1,1,0.0,0.0401606425702811,0.0249999999999999,0
33,1,4,1,2,1,38.0,4,68,0,1,0,50,3,2,4.0,,3.0,1,0,1,0.0,0.0803212851405622,0.3999999999999999,1
38,1,4,0,2,2,38.0,3,33,1,3,0,51,1,5,,,4.0,0,0,1,0.0,0.0819277108433735,0.1875,0
36,3,1,1,2,1,38.0,17,39,1,0,0,64,3,5,1.5,,2.0,1,0,1,0.0,0.1028112449799196,0.1374999999999999,1
32,1,3,1,2,1,38.0,2,8,0,1,29,34,3,0,,2.5,3.5,0,1,1,0.9666666666666668,0.1640524361597332,0.0375,0
